тип,балл,Параметры,Общая часть,Техническая часть,Бизнес часть
категория,3,Управление закупками IT-активов,"Централизованное управление процессом приобретения IT-оборудования и программного обеспечения, охватывающее создание заявки на закупку, согласование бюджета, выбор поставщика, формирование заказа на закупку (PO) и учёт поступления на склад. Эта категория является точкой отсчёта жизненного цикла любого IT-актива и определяет связь между финансовой записью и физическим активом.","Реализуется через модули Procurement ERP-системы (SAP MM, Oracle Procurement, 1C Закупки), которые поддерживают workflow согласования заявок, интеграцию с каталогами поставщиков, формирование PO с уникальными номерами и автоматическую передачу данных в ITAM-системы через REST API или файловый обмен. Каждый PO содержит номенклатуру, количество, стоимость, поставщика, дату заказа и служит первичным документом для создания инвентарной записи.","Централизация закупок через ERP даёт полную картину IT-расходов, исключает незапланированные закупки и обеспечивает документальное подтверждение каждого актива для финансового аудита. Связь PO ? инвентарный номер ? физическое устройство позволяет CFO за минуты получить ответ на вопрос о стоимости оборудования любого проекта, а также снижает риски двойных закупок и необоснованных расходов."
категория,3,Финансовый учёт активов,"Ведение финансовых атрибутов IT-активов с момента оприходования до полного списания: балансовая стоимость, начисление амортизации, счета учёта, остаточная стоимость. Эта категория обеспечивает единый финансовый контекст для всех IT-активов и является единственным авторитетным источником стоимостных данных.","Реализуется через финансовые модули ERP (SAP FI, Oracle Financials, 1C Бухгалтерия), которые автоматически начисляют амортизацию по заданным методам (линейный, уменьшаемого остатка, по объёму производства), ведут счета учёта ОС и НМА, рассчитывают остаточную стоимость. Интеграция с ITAM через ERP Sync обеспечивает двунаправленный обмен данными о стоимости, амортизации и бюджетных статьях.","Точный финансовый учёт активов позволяет оптимизировать налоговую базу через корректный расчёт амортизации, обосновывать инвестиции в новое оборудование на основе остаточной стоимости старого и предоставлять аудиторам доказательную базу для каждого актива. Организации без связи ERP с инвентарём теряют до 20-30% на неконтролируемой амортизации и списании активов без фактического учёта."
категория,3,Интеграция с ITAM/CMDB,"Обмен данными между ERP/Procurement и системами управления активами (ITAM) и конфигурационной базой данных (CMDB), обеспечивающий связь между финансовой записью и техническим инвентарём. Эта категория замыкает цепочку от закупки до эксплуатации и создаёт единую версию правды об активе.","Интеграция реализуется через API-коннекторы (REST API, SOAP, файловый обмен форматов CSV/XML/JSON), которые передают данные о закупках из ERP в Asset Lifecycle ITAM-системы и обогащают CI-записи в CMDB финансовыми атрибутами (стоимость актива, номер PO, поставщик, дата закупки, гарантийные условия). Обратный поток от ITAM к ERP передаёт данные о физическом состоянии актива, перемещениях и списании для корректировки финансовых записей.","Интеграция ERP с ITAM/CMDB позволяет за секунды ответить на вопрос: сколько стоит этот сервер, когда он был куплен, у кого на балансе и в каком он состоянии. Без этой связи финансовая и техническая картина расходятся, что приводит к ситуациям, когда активы числятся на балансе, но физически списаны, или наоборот — оборудование эксплуатируется без финансового учёта, создавая риски при аудите."
категория,2,Управление жизненным циклом актива,"Отслеживание IT-актива на всех этапах его существования: от заявки на закупку через ввод в эксплуатацию, обслуживание и модернизацию до вывода и утилизации. ERP фиксирует ключевые вехи жизненного цикла на финансовом языке, а ITAM переводит их в операционные действия.","Реализуется через модуль Asset Lifecycle ERP-системы или интеграцию со специализированной ITAM-платформой. ERP передаёт триггерные события: создание PO ? инициация инвентарной записи, поступление на склад ? доступность для выдачи, списание ? обновление балансовой стоимости. Каждый этап жизненного цикла фиксируется с временной меткой и связью с первичным документом.","Сквозное управление жизненным циклом актива позволяет планировать замену оборудования до истечения гарантийного срока, рассчитывать TCO с учётом всех затрат на приобретение, эксплуатацию и утилизацию, а также формировать инвестиционные планы на основе реальных данных о сроках службы активов."
категория,2,Управление поставщиками и контрактами,"Централизованный учёт взаимоотношений с поставщиками IT-оборудования и программного обеспечения: договоры поставки, гарантийные обязательства, SLA, условия лицензионных соглашений. Эта категория обеспечивает прозрачность контрактной базы и своевременное обновление соглашений.","Реализуется через модуль Vendor Management ERP или специализированную Contract Management систему с интеграцией в Procurement. Хранит контрактные данные: поставщик, номенклатура, срок действия, объём закупок, гарантийные условия, метрики SLA. Интеграция с SAM позволяет сопоставлять условия лицензионных соглашений с фактическим использованием ПО. Поддерживает автоматические уведомления об истечении сроков договоров и гарантий.","Структурированное управление поставщиками снижает риски прерывания поставок, обеспечивает своевременное продление гарантий и лицензий, позволяет проводить переговоры о скидках на основе истории закупок и формировать единую картину зависимости бизнеса от ключевых вендоров."
категория,2,Бюджетирование и контроль затрат,"Планирование IT-бюджета, распределение бюджетных лимитов по подразделениям и проектам, контроль исполнения бюджета в процессе закупок. ERP выступает как единая точка финансового контроля над всеми IT-расходами.","Реализуется через бюджетные модули ERP, которые поддерживают создание бюджетных заявок, автоматическую проверку лимитов при создании PO, распределение затрат по статьям бюджета, cost center и проектам. Интеграция с FinOps позволяет дополнять capital expenditures (CapEx) операционными расходами (OpEx) на облачные ресурсы и формировать полную картину IT-затрат.","Централизованный контроль бюджета IT-закупок предотвращает превышение лимитов, обеспечивает прозрачность распределения затрат по подразделениям и проектам, позволяет CFO и CIO принимать обоснованные решения о перераспределении ресурсов на основе актуальных данных."
категория,1,Аудиторский след и compliance,Обеспечение доказательной базы для внутренних и внешних аудитов: полный след от заявки на закупку до списания актива с возможностью восстановления каждого шага. Включает управление правами доступа к финансовым данным и segregation of duties (SoD) в процессах закупок.,"Реализуется через встроенные механизмы аудита ERP-системы, которые фиксируют все изменения записей (кто, когда, что изменил), workflow согласования с электронными подписями, ролевую модель доступа с разделением функций (заявитель ? согласующий ? утверждающий ? бухгалтер). Интеграция с GRC-системами позволяет автоматически передавать данные для compliance-отчётности.","Полный аудиторский след по каждому активу снижает риски финансовых нарушений, ускоряет прохождение аудитов с точностью до минут вместо недель сбора документов и обеспечивает соответствие требованиям регуляторов (SOX, ФЗ-402, МСФО) по учёту основных средств."
функция,3,Создание и согласование заказов на закупку (PO),"Формирование заказа на закупку (Purchase Order) как юридически значимого документа, фиксирующего намерение организации приобрести IT-активы у конкретного поставщика на определённых условиях. PO является первичным финансовым документом, запускающим жизненный цикл актива.","В модуле Procurement ERP создаётся PO с уникальным номером, привязкой к бюджетной статье, cost center и проекту. Workflow автоматически маршрутизирует заявку на согласование в соответствии с суммой и категорией закупки. После утверждения PO передаётся поставщику через EDI/email/портал и одновременно поступает в ITAM для предварительного резервирования инвентарных номеров.","Автоматизированное создание и согласование PO исключает неавторизованные закупки, сокращает время от заявки до утверждения с дней до часов и создаёт юридически значимый документ, защищающий интересы организации при спорах с поставщиками."
функция,3,Учёт балансовой стоимости и амортизации,Фиксация первоначальной стоимости актива при оприходовании и последующее начисление амортизации в соответствии с выбранным методом и учётной политикой организации. Балансовая стоимость актива уменьшается с каждым периодом амортизации до достижения остаточной стоимости.,"При поступлении актива на склад ERP генерирует проводку по зачислению актива на счёт учёта ОС/НМА с указанием первоначальной стоимости. Далее по расписанию (обычно ежемесячно) запускается расчёт амортизации по заданному методу (линейный — равными долями, нелинейный — ускоренный). Остаточная стоимость рассчитывается автоматически и передаётся в ITAM/CMDB для принятия решений о ремонте или замене.","Корректный учёт амортизации позволяет оптимизировать налоговую нагрузку, обосновывать инвестиции в замену устаревшего оборудования и предоставлять руководству точную картину стоимости IT-инфраструктуры. Некорректный расчёт амортизации ведёт к завышению или занижению балансовой стоимости и штрафам при налоговых проверках."
функция,3,Передача данных о закупках в ITAM,Автоматическая передача данных о закупленных активах из ERP в систему управления IT-активами (ITAM) для создания инвентарных записей и инициации процессов ввода в эксплуатацию. Эта функция замыкает связь между финансовой и инвентарной системами.,"При подтверждении поступления актива на склад (goods receipt) ERP автоматически генерирует сообщение для ITAM через API-интерфейс или шину данных. Сообщение содержит: номер PO, номенклатуру, количество, стоимость, поставщика, серийные номера (если доступны), гарантийные сроки. ITAM на основе этих данных создаёт инвентарные записи с присвоением уникальных инвентарных номеров.","Автоматическая передача данных о закупках в ITAM исключает двойной ввод и ошибки ручного переноса, обеспечивает мгновенную доступность информации о новых активах для всех downstream-процессов и создаёт неразрывную цепочку: PO ? инвентарный номер ? физическое устройство."
функция,3,Обогащение CMDB финансовыми атрибутами,"Дополнение записей конфигурационных единиц (CI) в CMDB финансовыми данными из ERP: стоимость актива, номер PO, поставщик, дата закупки, гарантийные условия, остаточная стоимость. Эта функция создаёт единую многомерную карточку актива, объединяющую технические и финансовые характеристики.","Реализуется через интеграционный адаптер ERP ? CMDB, который периодически синхронизирует финансовые атрибуты. Маппинг между ERP-записями и CI в CMDB выполняется по инвентарному номеру, серийному номеру или hostname. Обогащённая CI-запись содержит: financial tags (PO number, vendor, purchase date), cost attributes (book value, depreciation, residual value), warranty info (warranty start/end dates, SLA level).","Обогащение CMDB финансовыми данными позволяет при инциденте на сервере мгновенно видеть его стоимость и остаточную стоимость для принятия решения ремонт/замена, обеспечивает точный charge-back IT-услуг и даёт CIO полную картину стоимости IT-инфраструктуры в разрезе сервисов и подразделений."
функция,2,Управление бюджетом IT-закупок,"Планирование, распределение и контроль исполнения бюджета на закупку IT-активов и программного обеспечения. Включает создание бюджетных заявок, распределение по статьям, cost center и проектам, а также мониторинг фактических расходов относительно плана.","Реализуется через модуль бюджетирования ERP, который интегрирован с Procurement. При создании PO система автоматически проверяет наличие доступного бюджета по соответствующей статье и cost center. При превышении лимита запускается workflow дополнительного согласования. Фактические расходы агрегируются в BI/DWH для анализа отклонений и прогнозирования.","Жёсткий контроль бюджета IT-закупок предотвращает незапланированные расходы, обеспечивает соответствие утверждённому финансовому плану и позволяет оперативно перераспределять ресурсы между проектами на основе актуальных данных об исполнении бюджета."
функция,2,Управление гарантийными обязательствами,"Учёт гарантийных условий по каждому IT-активу, отслеживание сроков гарантии, инициация обращений к поставщику при выявлении дефектов в гарантийный период. Гарантийные данные поступают из ERP при закупке и синхронизируются с ITAM для оперативного доступа.","При создании PO в ERP фиксируются гарантийные условия: тип гарантии (заводская, расширенная), срок (12/24/36 месяцев), условия замены/ремонта, контакт сервисного центра. Эти данные передаются в ITAM и CMDB как атрибуты CI. Автоматические уведомления генерируются за определённый период до истечения гарантии для планирования перехода на платное обслуживание или замену.","Учёт гарантийных обязательств позволяет при инциденте мгновенно определить, покрывается ли ремонт гарантией, избежать лишних затрат на платный ремонт гарантийных устройств и своевременно продлить или пересмотреть сервисные контракты перед истечением гарантийного срока."
функция,2,Сопоставление с данными Discovery,"Связь между финансовыми записями в ERP и результатами обнаружения активов системами Discovery. Эта функция позволяет проверить, что все закупленные активы присутствуют в инфраструктуре, а все обнаруженные активы имеют финансовое подтверждение закупки.","Реализуется через reconciliation-процесс, который сопоставляет записи ERP (по инвентарным номерам, серийным номерам) с данными Discovery (по hostname, MAC, IP, serial number). Несопоставленные записи ERP (активы на балансе, не обнаруженные в сети) и несопоставленные записи Discovery (обнаруженные активы без PO) выделяются для ручного анализа. Процесс выполняется регулярно (еженедельно/ежемесячно) для поддержания соответствия.","Сопоставление ERP с Discovery выявляет 'потерянные' активы (числятся на балансе, но не найдены в сети), незарегистрированные закупки (оборудование в сети без PO) и обеспечивает 100% покрытие инвентаризации финансовыми документами, что критично для аудита и управления рисками утраты активов."
функция,1,Учёт программных лицензий,"Фиксация в ERP закупок программных лицензий как нематериальных активов или расходов будущих периодов. Включает учёт количества лицензий, типа лицензионной модели, срока действия и условий использования. ERP является точкой отсчёта для лицензионного учёта в SAM.","В ERP создаётся запись о закупке лицензий с указанием: вендор, продукт, редакция, количество, метрика лицензирования (на пользователя, на процессор, на ядро, конкурентная), срок действия, условия true-up/down. Данные передаются в SAM-систему для сопоставления с фактическим количеством установок. При true-up ERP фиксирует дополнительные лицензии, при списании — уменьшение entitlement.",Точный учёт программных лицензий в ERP является основой для SAM-оптимизации: сопоставление закупленных прав (entitlement) с фактическим использованием выявляет недолицензирование (риск штрафов при аудите) или избыточные лицензии (возможность сократить расходы). Организации с зрелым лицензионным учётом экономят 15-30% от годового бюджета на ПО.
функция,1,Контроль segregation of duties (SoD),"Обеспечение разделения обязанностей в процессе закупок: функции заявителя, согласующего, утверждающего и бухгалтера выполняются разными сотрудниками. Это предотвращает возможность одному лицу инициировать, утвердить и провести закупку.","Реализуется через ролевую модель ERP с настройкой workflow согласования. Каждая роль имеет ограниченный набор полномочий: заявитель создаёт заявку, руководитель подразделения согласовывает, CFO утверждает сверхлимитные закупки, бухгалтер проводит оплату. Система фиксирует каждое действие с временной меткой и идентификатором пользователя. SoD-правила проверяются автоматически при назначении ролей.","Разделение обязанностей в процессе закупок является ключевым требованием большинства стандартов внутреннего контроля (COSO, COBIT) и законодательства (SOX). Корректная настройка SoD снижает риски мошенничества, ошибочных закупок и необоснованных расходов."
функция,1,Учёт списания и утилизации активов,"Фиксация факта вывода IT-актива из эксплуатации, его списания с баланса и утилизации. Включает формирование акта списания, последнее начисление амортизации, корректировку балансовой стоимости и передачу на утилизацию.","При поступлении запроса на списание из ITAM ERP генерирует акт списания ОС, рассчитывает остаточную стоимость на момент списания, формирует бухгалтерские проводки по выбытию актива. Интеграция с ITAM обеспечивает двунаправленный обмен: ITAM передаёт триггер списания, ERP подтверждает факт списания. Данные об утилизированных активах передаются в BI для анализа жизненного цикла.","Корректный учёт списания активов предотвращает ситуации, когда оборудование уже списано, но продолжает числиться на балансе (завышение активов), или уже утилизировано, но не списано (риски при аудите). Также обеспечивает соблюдение требований экологической утилизации IT-оборудования."
категория,3,Дополнительная: ERP как источник финансовых данных для всего IT-ландшафта,"ERP/Procurement выступает единственным авторитетным источником (system of record) финансовых данных об IT-активах для всей enterprise-архитектуры. Все downstream-системы — ITAM, SAM, FinOps, CMDB, BI — получают стоимостные данные из ERP, а не формируют их самостоятельно. Эта категория подчёркивает центральную роль ERP как финансового фундамента IT-ландшафта.","ERP публикует финансовые данные через API-шлюз или шину данных для потребления другими системами: стоимость активов передаётся в CMDB для обогащения CI, данные о лицензиях — в SAM для entitlement reconciliation, структура затрат — в FinOps для charge-back, агрегированные финансовые показатели — в BI/DWH для управленческой отчётности. Каждый поток имеет определённый SLA по актуальности и формату данных.","Когда ERP является единственным источником финансовых данных, исключается ситуация, когда разные системы показывают разную стоимость одного актива. Это обеспечивает согласованность всех финансовых показателей: от стоимости конкретного сервера в CMDB до агрегированного IT-бюджета в Executive Dashboards, и позволяет CFO полностью доверять данным для принятия инвестиционных решений."
